MF_name,CD4_Tcell,NK_cell,M2,M1,DC_cell,T_helper,Treg,CD8_Tcell,memory_CD8_Tcell
ARID5B,4.049626,3.910127,4.188872,4.305954,4.074711,3.840851,11.1859425,3.890486,8.458845
ZNF460,3.426977,3.836486,3.678418,3.5923435,3.821149,3.532499,9.9204335,3.416808,8.663568
RBM47,6.071271,5.49787,7.268906,7.466198,6.2114445,6.056676,5.73035,5.889883,4.7990985
GRN,6.000604,7.133186,12.917676,12.302756,12.2453825,7.898041,5.162903,7.258418,5.7479745
CTSB,6.490045,6.1421155,13.164988,11.9376965,12.2947045,6.288926,4.355127,5.491914,5.3009905
TFEC,3.347661,3.7365355,10.63001,10.7725605,10.5219815,3.244332,3.0110135,3.260253,2.600103
FCER1G,3.55024,11.105848,11.950584,12.6349605,11.6473635,3.93105,4.098644,4.497614,3.410295
CD8B,6.146465,5.979893,5.451939,5.7414745,5.446313,7.913745,5.068343,11.382059,9.9017155
RAB7A,4.851341,5.490508,5.20502,5.1912115,5.3897045,4.040635,6.218206,4.935032,7.1194995
TRBC1,13.067567,12.168502,5.182383,7.820961,5.7417955,11.411308,12.7207665,12.927529,12.891055
OSGIN2,3.76098,3.6773305,3.493779,4.0489715,3.806356,3.295324,9.510151,3.267604,7.541521
AKT2,7.341841,6.3351795,5.529972,5.188158,4.9461595,6.424527,5.661892,6.821738,6.0081105
LINC01578,3.669613,5.9409365,3.851695,3.8984905,3.6785365,3.748564,5.7074345,7.604807,7.166328
PSAP,9.580663,11.532901,14.296686,13.838864,14.3008375,10.133545,11.7789375,10.897663,12.0352565
SLC7A1,4.732515,4.469564,4.468135,4.8652505,4.5068215,4.813028,11.5141515,4.799155,7.621011
LRIG1,3.741064,3.583716,3.751869,3.8628255,3.762668,3.891029,10.9554755,3.899084,7.656204
HBG2,4.914792,4.8532575,4.736624,5.013998,4.5595695,13.364098,4.7794525,5.39552,4.866979
PDGFC,3.622074,3.6132475,8.43229,4.783733,7.5836735,3.602902,3.744491,3.668909,3.072545
JMJD1C,8.404324,7.6101515,7.830844,6.3222965,5.97891,6.54631,5.241481,9.651916,6.00721
IRF2BP2,8.733399,9.485567,9.160798,7.6851705,8.450888,8.622327,10.3462025,8.229299,10.2381385
FOXP3,4.762516,4.4287525,4.699416,5.1879535,4.9910295,5.589049,10.5217645,4.59842,5.0900685
RAB31,4.091721,6.6588975,11.523867,11.737063,11.3034195,5.772886,4.467908,6.081428,4.020946
