"gene","GSM972736"
"DDR1",6.70734885563975
"RFC2",6.05329485372045
"HSPA6",5.13144516368225
"PAX8",8.39972948392099
"GUCA1A",3.3546754226099
"UBA7",8.06609614387512
"THRA",5.76701176008663
"PTPN21",4.06001699402684
"CCL5",7.58136644166929
"CYP2E1",3.5504277261829
"EPHB3",5.08312071660951
"ESRRA",6.29599866709496
"CYP2A6",5.28749418720548
"SCARB1",5.86478471392319
"TTLL12",6.66069324023302
"CYTOR",4.7592614603798
"WFDC2",4.67004029848656
"MAPK1",5.51041045950083
"MAPK1",6.31319662151693
"ADAM32",2.69928269355839
"SPATA17",3.19535667661499
"PRR22",4.6482006205933
"PRR22",5.45241561124258
"PXK",5.30582124275888
"PXK",5.30562736738486
"VPS18",5.62054479257827
"MSANTD3",6.04344736462396
"SLC46A1",3.89424354012534
"SLC46A1",6.07339005775198
"TIMD4",4.04275782494217
"SLC39A5",7.58995310531282
"ZDHHC11",4.20877173766746
"ATP6V1E2",6.15993714862789
"AFG3L1P",7.71225299787931
"CILP2",3.91114881643614
"CILP2",5.38495132935622
"PIGX",5.06187723407243
"TMEM196",4.36572345404366
"SLC39A13",6.75921319011635
"BEST4",3.3719589233155
"AK9",3.85718926564827
"CORO6",4.83713017044266
"TMEM106A",5.46530904015396
"TMEM106A",5.59137593334022
"ALG10",4.30921260417563
"ALG10",3.35524144633811
"TTC39C",6.82434652242037
"NEXN",3.75731955493077
"C15orf40",7.87245870614159
"RAX2",6.21417303503533
"MFAP3",4.23693392140415
"EYA3",4.3500441197783
"GIMAP1",7.31464118770485
"GIMAP1",9.54862741789028
"GIMAP1",9.73138020780722
"KLK8",4.01723118683075
"CCDC65",4.26159593343363
"CCDC65",4.85334943752742
"FAM122C",3.34045876188823
"FAM122C",6.46130188403257
"CFAP53",2.72996547381315
"CFAP53",5.01703464649018
"ARMCX4",4.58849215814608
"RBBP6",5.77101871447966
"CENPBD1",3.53143448597157
"TRIOBP",5.97291490388397
"TRIOBP",4.34060698053949
"CATSPER1",5.99578217115328
"HOXD4",3.9674185960994
"GSC",3.84951822884623
"SP7",4.36211735312501
"PDE7A",7.58873172004436
"CNOT7",7.05490301440336
"CRYZL1",8.08328259693241
"PRSS33",5.42210446073971
"PRSS33",4.12217449637257
"CBARP",3.89721310467839
"CBARP",4.92285134244321
"MCMDC2",2.9402437296544
"TIRAP",5.57670947626766
"LEAP2",6.02089017058177
"MSI2",4.57606439381581
"SCIN",3.19391505281354
"SCIN",3.20882548008934
"CTCFL",3.50911288422121
"C4orf33",5.04674223520971
"C4orf33",2.68017938483802
"C4orf33",2.52537991813394
"ZNF333",5.0685529988642
"TVP23C",6.15993714862789
"RDH10",3.93723878462033
"RDH10",2.53836826641081
